occ2010,estimate,p.value
3030,-3.3935133800660095e-4,0.9822536392178894
3040,0.05355715342306838,0.07726532396574962
3050,0.010403541468958305,0.1367206144557193
3060,0.009539870553275525,0.08596955655121488
3120,0.04543022226784518,0.6245471211156335
3150,-0.02676048336900953,0.042278219833150624
3160,0.022481683220368743,0.08909428079918656
3220,-0.03598875563863609,0.013355758316413682
3230,-5.73444477746722e-4,0.949349078877464
3245,0.009023630824949213,0.5330865875129177
3250,0.008870763715311002,0.7275362495359137
3255,-0.003924686595251523,0.09550230607597242
3300,-0.005142371809953649,0.5388908437629236
3310,0.012865796399119092,0.16260176767614198
3320,-0.01640178088241603,0.086125480720168
3400,0.0049302153562703335,0.6558168178439334
3500,-0.008469722538333438,0.2747053196455702
3510,0.015845586321934144,0.48562164080529924
3520,0.009840382974086856,0.45030721297031606
3600,-0.0031197878532903387,0.6199321985923847
3640,-0.0016013983229194889,0.8005732194083279
3645,0.007221852102036529,0.22919002258803922
3710,0.003682314980217157,0.8239019965174987
3720,-0.02443741172694947,0.1960948853710272
3730,-0.02793808949872173,0.10071124440822865
3740,-0.007219587661673188,0.376404675331276
3750,0.03306108725566105,0.17997457470973127
3800,2.766977073465706e-4,0.9785186684955487
3850,0.0017621421389566556,0.6650913156516203
3930,-0.010405021871050866,0.014055678106259174
3940,-0.032722631309178116,0.03144439014709214
3955,-0.02474179245408731,0.03237746523055248
4010,0.0072648515670488654,0.4919964519334361
4020,-0.002442834292089779,0.45986905293145075
4030,0.004411780364378379,0.4672796961295158
4040,0.007713248888416044,0.22470809427521402
4060,0.013433837347461395,0.3440180201512363
4110,-0.0020074490781460193,0.5378650544820534
4130,0.011482970704176417,0.4296938426056499
4140,0.005785216652030795,0.5154284810280405
4200,0.013157119853193379,0.24185771072914844
4210,0.0057398891784413205,0.6826709661884298
4220,0.0015321610230089574,0.6949621152043106
4230,0.009644277615190013,0.019327323897789704
4240,0.03794624168872262,0.03689299163627977
4250,0.01462059463384097,0.07563882897887801
