occ2010,metric,value,z,pctile
0830,dv_rating_beta,0.555555555555556,0.959862950658774,0.832959641255605
0840,dv_rating_beta,0.461538461538462,0.548196941185324,0.682735426008969
0850,dv_rating_beta,0.5,0.716605763242645,0.73542600896861
0860,dv_rating_beta,0.571428571428571,1.02936500420624,0.855381165919282
0900,dv_rating_beta,0.515756049797174,0.785595665694729,0.760089686098655
0910,dv_rating_beta,0.593916545888207,1.1278315097255,0.881165919282511
0930,dv_rating_beta,0.580645161290323,1.06972103529832,0.86322869955157
0940,dv_rating_beta,0.625,1.26393443492894,0.899103139013453
0950,dv_rating_beta,0.583230958230958,1.08104328173646,0.869955156950673
1005,dv_rating_beta,0.634615384615385,1.30603664044327,0.908071748878924
1006,dv_rating_beta,0.617424242424242,1.23076300028128,0.89237668161435
1007,dv_rating_beta,0.652173913043478,1.38291892877378,0.926008968609865
1010,dv_rating_beta,0.95,2.68698898131329,0.997757847533632
1020,dv_rating_beta,0.87280701754386,2.34898952090351,0.979820627802691
1030,dv_rating_beta,0.841346153846154,2.21123405900136,0.975336322869955
1050,dv_rating_beta,0.615191191777139,1.22098529912538,0.890134529147982
1060,dv_rating_beta,0.919996033229485,2.55561273109068,0.995515695067265
1105,dv_rating_beta,0.72972972972973,1.72250710580123,0.948430493273543
1106,dv_rating_beta,0.635222739361702,1.30869602177562,0.910313901345291
1107,dv_rating_beta,0.735786186333217,1.74902608458453,0.95067264573991
1200,dv_rating_beta,0.5,0.716605763242645,0.73542600896861
1220,dv_rating_beta,0.629032258064516,1.28159019853172,0.902466367713004
1240,dv_rating_beta,0.863801169590643,2.30955625052237,0.977578475336323
1300,dv_rating_beta,0.454712362301102,0.518307982558261,0.670403587443946
1310,dv_rating_beta,0.5111372191864,0.765371518311214,0.753363228699552
1320,dv_rating_beta,0.571428571428571,1.02936500420624,0.855381165919282
1340,dv_rating_beta,0.507834757834758,0.750911264032099,0.748878923766816
1350,dv_rating_beta,0.461538461538462,0.548196941185324,0.682735426008969
1360,dv_rating_beta,0.482142857142857,0.638415953001746,0.708520179372197
1400,dv_rating_beta,0.727272727272727,1.71174880267226,0.943946188340807
1410,dv_rating_beta,0.591229443831054,1.11606568572848,0.876681614349776
1420,dv_rating_beta,0.555555555555556,0.959862950658774,0.832959641255605
1430,dv_rating_beta,0.552746749043201,0.947564227959325,0.827354260089686
1440,dv_rating_beta,0.421052631578947,0.370924496914461,0.618834080717489
1450,dv_rating_beta,0.487804878048781,0.663207844053738,0.721973094170404
1460,dv_rating_beta,0.531293509651923,0.853628443804157,0.79372197309417
1520,dv_rating_beta,0.50462962962963,0.736877195527322,0.744394618834081
1530,dv_rating_beta,0.536324810013834,0.875658643355676,0.807174887892377
1540,dv_rating_beta,0.532440345993239,0.858650015094831,0.798206278026906
1550,dv_rating_beta,0.390636545793475,0.237743730267589,0.562780269058296
1560,dv_rating_beta,0.5,0.716605763242645,0.73542600896861
1600,dv_rating_beta,0.430800941585588,0.413608733451429,0.634529147982063
1610,dv_rating_beta,0.527746078809421,0.838095558916752,0.782511210762332
1640,dv_rating_beta,0.431424099193081,0.416337309655911,0.639013452914798
1650,dv_rating_beta,0.517233660474004,0.792065575206877,0.762331838565022
1700,dv_rating_beta,0.728711790393013,1.71804992672105,0.946188340807175
1710,dv_rating_beta,0.565217391304348,1.00216854847027,0.847533632286996
1720,dv_rating_beta,0.389346793080856,0.23209638115558,0.560538116591928
1740,dv_rating_beta,0.497568503020731,0.705959139147665,0.726457399103139
1760,dv_rating_beta,0.456521739130435,0.526230573090891,0.673766816143498
1800,dv_rating_beta,0.552631578947368,0.947059940794767,0.823991031390135
1820,dv_rating_beta,0.405764485675364,0.303983372194825,0.596412556053812
1840,dv_rating_beta,0.477272727272727,0.617091459299683,0.695067264573991
1860,dv_rating_beta,0.558185140173525,0.971376927107091,0.836322869955157
1900,dv_rating_beta,0.392310212331201,0.245072095731106,0.565022421524664
